City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,puerto ayora,-0.7393,-90.3518,25.09,88,79,3.68,EC,2024-2-7
127,pokhara,28.2333,83.9833,19.0,28,73,2.62,NP,2024-2-7
128,sisimiut,66.9395,-53.6735,-4.05,74,100,12.83,GL,2024-2-7
129,pyetrykaw,52.1289,28.4921,5.86,92,100,8.64,BY,2024-2-7
130,stanley,54.868,-1.6985,-0.12,85,0,1.54,GB,2024-2-7
131,bohicon,7.1783,2.0667,23.3,28,41,1.23,BJ,2024-2-7
132,isafjordur,66.0755,-23.124,-2.87,90,100,5.94,IS,2024-2-7
133,college,64.8569,-147.8028,-15.86,81,75,0.0,US,2024-2-7
134,sremska mitrovica,44.9764,19.6122,8.43,83,97,1.31,RS,2024-2-7
135,umm kaddadah,13.6017,26.6876,13.06,25,2,6.89,SD,2024-2-7
136,arroyo,41.6096,-4.7969,7.28,87,100,6.17,ES,2024-2-7
137,happy valley-goose bay,53.3168,-60.3315,-17.83,78,20,1.54,CA,2024-2-7
138,hanceville,34.0607,-86.7675,7.95,85,0,2.01,US,2024-2-7
139,tyrnyauz,43.3828,42.9183,-0.18,78,95,6.68,RU,2024-2-7
140,tsimasham,27.0989,89.536,8.93,47,2,3.15,BT,2024-2-7
141,sinabang,2.4803,96.3801,29.99,66,100,2.36,ID,2024-2-7
142,ancud,-41.8697,-73.8203,11.94,69,98,3.67,CL,2024-2-7
143,milledgeville,33.0801,-83.2321,9.16,93,0,1.54,US,2024-2-7
144,whitehorse,60.7161,-135.0538,-14.95,84,100,1.54,CA,2024-2-7
145,monrovia,6.3005,-10.7969,26.25,86,6,0.57,LR,2024-2-7
146,akureyri,65.6835,-18.0878,-3.04,86,100,2.57,IS,2024-2-7
147,kapoeta,4.7717,33.5903,27.81,31,71,1.08,SS,2024-2-7
148,antsiranana,-12.2787,49.2917,24.65,91,100,1.3,MG,2024-2-7
149,mtimbira,-8.7833,36.35,24.07,96,67,0.4,TZ,2024-2-7
